,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
194,0.06626067161560059,0.014266524101277937,0.0010518074035644532,9.143096057324276e-06,0.001,"(50, 50)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5128072196620582,0.3570660522273426,0.5007872503840247,0.4511083743842365,0.5592911877394635,0.47573637331614954,0.0688995713961381,303,0.4555920524213483,0.40845957828895,0.5803826888850506,0.555262068841931,0.5814380655300905,0.5162268907934741,0.07096842415248199
195,0.09070706367492676,0.02819701788821088,0.0010779380798339843,3.398293678485121e-05,0.001,"(50, 50)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.5896697388632872,0.5628840245775729,0.482872503840246,0.4806034482758621,0.4768518518518518,0.5191109760692283,0.04800541954826435,254,0.5601881610368816,0.5995996843612341,0.6152559895266203,0.5206001859987325,0.5046696132471381,0.5600627268341214,0.04297713846437034
196,0.13750967979431153,0.044080204667109046,0.001058197021484375,8.506700062101816e-06,0.001,"(50, 50)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.7041858678955454,0.5637480798771121,0.6829493087557605,0.7295977011494252,0.6524584929757343,0.6663364150241932,0.05751395833092204,98,0.642320349887477,0.5982088036888612,0.7635613871721124,0.7839427216470517,0.7821070801371328,0.714028068506527,0.07814404547864146
197,0.08162879943847656,0.029310103466562012,0.0010586261749267578,1.3960339256959765e-05,0.001,"(50, 50)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.5228878648233486,0.4654569892473119,0.566378648233487,0.5930623973727421,0.4637611749680715,0.5222720243533299,0.05202567056099421,251,0.5183344191212538,0.4900703106896746,0.628427503635895,0.6826087908390281,0.5814313105290096,0.5801744669629721,0.07037851434442403
198,0.12416105270385742,0.03456086932848182,0.001062774658203125,1.1426793376097707e-05,0.001,"(50, 50)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.6126728110599078,0.5880952380952381,0.5659946236559141,0.6192323481116584,0.5892081736909323,0.5950065185656814,0.019097500406204383,185,0.6207629730451727,0.6904102661604745,0.6058223755848096,0.6265724575488905,0.7430003663800586,0.6573136877438812,0.051710586160545524
199,0.12968554496765136,0.04260841076027271,0.0010679244995117187,1.3731254371853496e-05,0.001,"(50, 50)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.5356182795698925,0.6940668202764978,0.5891129032258066,0.6948070607553365,0.5666985951468709,0.6160407273831913,0.06628780839298408,160,0.568295972278139,0.7141378741507566,0.6706480028236071,0.7801983453722757,0.7232333082173295,0.6913027005684216,0.07071169106458411
200,0.11579318046569824,0.012936573083387625,0.001084136962890625,1.4029388739737716e-05,0.001,"(50, 50)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.6448732718894009,0.6036290322580645,0.6569700460829493,0.6100164203612479,0.6962005108556832,0.6421129939579258,0.033510505998813486,132,0.6794740689288417,0.6858667241822916,0.6911532607906601,0.7248177570519223,0.7172557272609164,0.6997135076429263,0.017958835849539365
201,0.14531159400939941,0.024277045660517735,0.0010840415954589844,8.136189026106914e-06,0.001,"(50, 50)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.7948924731182796,0.7197772657450076,0.7169354838709681,0.7114942528735632,0.6537356321839081,0.719854480006385,0.04487207177486104,35,0.7533397132812374,0.7532622305160129,0.7749374826340651,0.8072917172747829,0.7800245798039328,0.7737711447020063,0.02001076475971156
202,0.1445991039276123,0.03136684032186454,0.0010930538177490235,1.5996873968508347e-05,0.001,"(50, 50)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.677400153609831,0.734984639016897,0.7588709677419357,0.7192118226600984,0.6872924648786718,0.7156512321852283,0.03013173165935511,43,0.7502093066454377,0.7735429428450217,0.8021484947019819,0.7593875577182256,0.8264330472292875,0.7823442698279909,0.02818920879307014
203,0.12006020545959473,0.03653714126217893,0.0011029720306396484,2.082659641474159e-05,0.001,"(50, 50)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.6071428571428571,0.7513824884792626,0.7169354838709678,0.7123563218390804,0.6784482758620689,0.6932163069433647,0.04915061183894421,67,0.5948894883668431,0.7766133942723399,0.7483194155533694,0.793205755021029,0.7235962232753959,0.7273248552977956,0.07037535604713814
