,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
132,0.05491847991943359,0.033571937785795196,0.0005204677581787109,5.61575718705646e-06,0.01,"(25,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 15}",0.39831029185867894,0.38277649769585254,0.6260752688172045,0.666892446633826,0.7349297573435503,0.559985878114528,0.14421411452300714,194,0.37779845622617597,0.35661463511371305,0.714132616918113,0.691989235042602,0.7185216599634656,0.5718113206528139,0.1674351284339129
133,0.02797245979309082,0.009432094348009866,0.0005153656005859375,7.589953518322577e-06,0.01,"(25,)",16,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 16}",0.35078725038402453,0.47688172043010746,0.3625000000000001,0.36426518883415443,0.4153256704980842,0.39401111717748255,0.047268028991564216,326,0.38155342623755556,0.43350631981943694,0.3922611135725891,0.3834402835126075,0.3893722447995592,0.3960266775883496,0.019136754428903363
134,0.06721558570861816,0.03263555890274813,0.0005264759063720703,1.949640141629908e-05,0.01,"(25,)",17,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 17}",0.6408602150537632,0.6374039938556069,0.3866935483870969,0.3919129720853859,0.6858556832694763,0.548684652568308,0.13090757940429934,206,0.6843827881647729,0.6611256572420026,0.41139806102295684,0.4074165435650253,0.7159603070536491,0.5760566714096813,0.137183277320617
135,0.05606541633605957,0.009621340057245804,0.0005236625671386719,2.648915178743582e-06,0.01,"(25,)",18,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 18}",0.5033026113671275,0.5818164362519201,0.6403609831029187,0.6430213464696223,0.6691251596424009,0.6068737479037117,0.05953697261856359,134,0.6288671510292413,0.6199401993277817,0.6781475835379698,0.6441509246857695,0.6522603318616531,0.644673238088483,0.020198634612011723
136,0.09984350204467773,0.028312440660811462,0.0005755424499511719,7.006083191128228e-05,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.4074116743471582,0.49124423963133634,0.2796274961597543,0.504720853858785,0.5120689655172413,0.43845730003700667,0.08809483073402397,299,0.4958693511953255,0.48725869974512265,0.3245880987962122,0.4744496402362668,0.4707203778152605,0.4505772335576375,0.06363301976319471
137,0.06181631088256836,0.02579852151058463,0.0006812572479248047,6.618863901020326e-05,0.01,"(25, 25)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 3}",0.2796082949308755,0.42885944700460826,0.49120583717357935,0.4498973727422004,0.36657088122605364,0.40309094339353657,0.0740299994341885,315,0.2768689687025588,0.47812161389480834,0.5289122478966881,0.47567420529706206,0.3888556447169031,0.42968653610160407,0.08868701703985393
138,0.07427911758422852,0.03370783857594152,0.0006846904754638672,6.926384309263739e-05,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 4}",0.4292050691244239,0.43212365591397844,0.3434523809523811,0.5314655172413794,0.3893997445721583,0.42496979092154286,0.06196068050526524,305,0.5703517726333407,0.49437020980252677,0.36956743489808236,0.49703028168700725,0.3914730851356936,0.46455855683133007,0.07416218914894498
139,0.08912711143493653,0.008305905391753132,0.0006476879119873047,8.627058260691356e-05,0.01,"(25, 25)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 5}",0.45226574500768035,0.5479646697388634,0.4385560675883259,0.47674466338259447,0.5433269476372925,0.49158931309845527,0.04572838995965584,252,0.5701475628917594,0.5218532481029639,0.5417386336044298,0.5490022516241441,0.5246759489481518,0.5414835290342898,0.01758445781081563
140,0.06281309127807617,0.026556704479162436,0.000675201416015625,6.74091588111761e-05,0.01,"(25, 25)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 6}",0.524231950844854,0.5041666666666667,0.375556835637481,0.4070197044334976,0.5265325670498084,0.4675644944911143,0.06348197142909623,275,0.6192881602528221,0.5274468091664786,0.44999612004335543,0.43249864865924326,0.508048443787751,0.5074556363819301,0.0660706558641242
141,0.08605523109436035,0.028165156824251483,0.0006168842315673828,8.854425642230336e-05,0.01,"(25, 25)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 7}",0.6219278033794162,0.5529377880184332,0.3257296466973888,0.5669540229885056,0.6406130268199234,0.5412000519011781,0.1129118925024031,216,0.6919711186205665,0.5710105739627828,0.34821296706542615,0.6175408593470781,0.6474473410915745,0.5752365720174857,0.12015704601258312
