iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
200,0.0384386209775,0.0380591067309,0.0384503809498,0.96909376637,0.972765363128,0.968994413408,0.805280528053,0.830434782609,0.802841918295,6.726735791
210,0.0375946898069,0.0371699863802,0.0375687100288,0.969792212328,0.972765363128,0.969553072626,0.812160694897,0.833333333333,0.808435852373,6.957715809
220,0.0369726657006,0.0365661960417,0.0369493158039,0.969617600838,0.972416201117,0.969832402235,0.81045751634,0.830835117773,0.80985915493,7.190782055
230,0.034809439223,0.034385058614,0.0347843090731,0.970054129562,0.972416201117,0.969553072626,0.813890396093,0.830835117773,0.808435852373,7.405880243
240,0.0332813847996,0.0328195199394,0.0332114463729,0.970403352541,0.972765363128,0.969832402235,0.816657652785,0.833333333333,0.810526315789,7.641204969
250,0.0303271930317,0.0297087135064,0.0302265420035,0.96760956871,0.97032122905,0.967597765363,0.790985915493,0.811529933481,0.790613718412,8.038176046
260,0.0290936166919,0.0283534510304,0.0288988145462,0.970927187009,0.975558659218,0.970670391061,0.819707634001,0.851694915254,0.816112084063,8.477251023
270,0.0285197909298,0.0277996588731,0.0283203092362,0.971014492754,0.975907821229,0.970670391061,0.820346320346,0.854122621564,0.816112084063,8.69364934
280,0.0284559536187,0.0277351613304,0.0282458201308,0.971101798498,0.975558659218,0.97094972067,0.821370750135,0.852941176471,0.818181818182,8.904907346
290,0.0281306420517,0.0274107203202,0.0279177550945,0.971014492754,0.975907821229,0.970670391061,0.820346320346,0.854736842105,0.816112084063,9.129336292
300,0.0280756109394,0.0273464219156,0.0278652863674,0.971014492754,0.975558659218,0.970670391061,0.820346320346,0.852320675105,0.816112084063,9.356549944
310,0.0274954434709,0.026671111036,0.0273099894219,0.971451021477,0.975907821229,0.971787709497,0.824288017195,0.855949895616,0.825561312608,9.625585018
320,0.0275933520062,0.0267995362167,0.0274227063206,0.971712938711,0.97625698324,0.971229050279,0.825993555317,0.858333333333,0.822719449225,9.878868281
330,0.0269778968506,0.0261982058304,0.0267538548192,0.971887550201,0.97625698324,0.971787709497,0.828358208955,0.858921161826,0.826161790017,10.211881576
340,0.025707534614,0.024883044542,0.0254565527463,0.971887550201,0.976606145251,0.971508379888,0.828358208955,0.860706860707,0.824137931034,10.419956433
350,0.0239572174461,0.0230973112869,0.0237012262204,0.971625632967,0.976606145251,0.971229050279,0.826481580352,0.860706860707,0.822107081174,10.655528808
360,0.0238531587132,0.0230093041524,0.0236511018558,0.971363715732,0.97625698324,0.971508379888,0.822894168467,0.856540084388,0.823529411765,10.895370895
370,0.0235720492918,0.0227245601414,0.0233562906902,0.971363715732,0.975907821229,0.971508379888,0.822894168467,0.854122621564,0.823529411765,11.316738346
380,0.0232835864832,0.0222725336836,0.0232120279146,0.969792212328,0.972416201117,0.968715083799,0.806487695749,0.826373626374,0.798561151079,11.563355478
390,0.0244072508067,0.0234462757598,0.0244102223364,0.968569931902,0.972765363128,0.968994413408,0.800221975583,0.828193832599,0.801431127013,11.798841811
400,0.0214760141422,0.0203594442276,0.0212628837298,0.972673301903,0.978701117318,0.971787709497,0.835695538058,0.874226804124,0.82793867121,12.007944029
410,0.0213359388408,0.0202785940427,0.0211308891142,0.97223677318,0.978002793296,0.971508379888,0.831389183457,0.869022869023,0.824137931034,12.217786026
