episode,length,time,reward,delta
235,52.0,0.002367000000049302,-447.0,2.1802435412610066e-09
236,12.0,0.0005720000001474546,88.0,1.9622206082203775e-09
237,15.0,0.0006989999999404972,85.0,1.7659971263128682e-09
238,12.0,0.0005859999998847343,88.0,1.589398834767053e-09
239,14.0,0.0006590000000414875,86.0,1.4304646356322337e-09
240,12.0,0.0005940000000919099,88.0,1.2874181720690103e-09
241,20.0,0.0009169999998448475,80.0,1.1586820392039954e-09
242,12.0,0.0005819999998948333,88.0,1.0428067298562382e-09
243,12.0,0.0005669999998190178,88.0,9.38527477956086e-10
244,12.0,0.0005700000001525041,88.0,8.446789934168919e-10
245,23.0,0.0010389999999915744,-22.0,7.602096729897312e-10
246,17.0,0.0007930000001579174,83.0,6.841816002634005e-10
247,23.0,0.0011010000000624132,-22.0,6.15770545664418e-10
248,16.0,0.0007460000001628941,84.0,5.541949121834477e-10
249,12.0,0.000573000000031243,88.0,4.987725787941599e-10
250,12.0,0.0005720000001474546,88.0,4.488924787438009e-10
251,12.0,0.0005850000000009459,88.0,4.0400038869847776e-10
252,12.0,0.0005739999999150314,88.0,3.6359892874315847e-10
253,12.0,0.0005719999999200809,88.0,3.2723335152695654e-10
254,12.0,0.0005719999999200809,88.0,2.945057531178463e-10
255,14.0,0.0006599999999252759,86.0,2.6506086214794777e-10
256,14.0,0.0006730000000061409,86.0,2.3855761810409604e-10
257,12.0,0.0006619999999202264,88.0,2.1469759303727187e-10
258,26.0,0.0011839999999665451,-25.0,1.9322499156260164e-10
259,12.0,0.0005720000001474546,88.0,1.7389822914992692e-10
260,12.0,0.0005850000000009459,88.0,1.5650414297851967e-10
261,16.0,0.0007889999999406427,84.0,1.4085799193708226e-10
262,26.0,0.0011820000001989683,-124.0,1.2677503491431708e-10
263,15.0,0.0007000000000516593,85.0,1.1409895250835689e-10
264,14.0,0.0006710000000111904,86.0,1.0268763617204968e-10
265,12.0,0.0005720000001474546,88.0,9.241318821295863e-11
266,26.0,0.0011839999999665451,-25.0,8.317613264807733e-11
267,12.0,0.0005719999999200809,88.0,7.486278263968416e-11
268,26.0,0.0011839999999665451,-124.0,6.73736622047727e-11
269,12.0,0.0006210000001374283,88.0,6.063771706976695e-11
270,12.0,0.0005750000000261934,88.0,5.4569682106375694e-11
271,17.0,0.0007949999999254942,-16.0,4.9112713895738125e-11
272,14.0,0.0006769999999960419,86.0,4.419575816427823e-11
273,31.0,0.0013980000001083681,-30.0,3.977618234785041e-11
274,23.0,0.001044999999976426,-22.0,3.579714302759385e-11
275,18.0,0.0008439999999154679,-17.0,3.221600763936294e-11
