,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
161,2.645426321029663,0.4768576863623571,0.0170896053314209,0.00016629814673925882,0.01,"(25, 25)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 15}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
162,2.6422778606414794,0.48013762925747233,0.01699819564819336,0.0001611817937516251,0.01,"(25, 25)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 20}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
163,2.643668603897095,0.47316223563108695,0.017024898529052736,0.00010299766504864452,0.01,"(25, 25)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 25}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
164,2.648321771621704,0.47391251153472586,0.016921329498291015,9.587147549556482e-05,0.01,"(25, 25)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 30}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
165,2.6527310848236083,0.4766290494282033,0.017139768600463866,9.237685914778815e-05,0.01,"(25, 25)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 35}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
166,2.647905731201172,0.4714515340951103,0.01699404716491699,0.00015662742654586832,0.01,"(25, 25)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 40}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
167,2.6433549880981446,0.472340399111463,0.01707148551940918,0.00014458910405986075,0.01,"(25, 25)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 45}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
168,2.6473220348358155,0.4744771151496808,0.017023897171020506,0.00014749927594239485,0.01,"(25, 25)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 50}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
169,2.8165751934051513,0.48088211913500756,0.01752915382385254,0.0009715466539861905,0.01,"(25, 25)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 55}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
170,2.6896363258361817,0.4713995197299534,0.017055177688598634,6.906284606739209e-05,0.01,"(25, 25)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'filter__n': 60}",0.7461049192958856,0.7722589573435771,0.7746489769689735,0.7588405613990756,0.7426154356863963,0.7588952008985941,0.01307970030064034,50,0.7562486280487756,0.7655586960508304,0.7596216825269245,0.7754190357352442,0.7583659854783156,0.7630428055680181,0.006917201099438837
171,4.237420558929443,1.0807074043930327,0.022880744934082032,0.000714797547130883,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 2}",0.7269122656886072,0.5,0.5,0.6784160902113143,0.6887562506257211,0.6188081692066928,0.09835297230282675,361,0.7132717201987187,0.5,0.5,0.6870109710166288,0.6826022440438291,0.6165769870518354,0.0957606807583636
172,4.5766260623931885,0.8945128041792928,0.024582052230834962,0.0012005807503268281,0.01,"(100, 25, 100)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 3}",0.6638482460558427,0.6677043812158273,0.688680109194885,0.6974309569685292,0.653471106169743,0.674227763172565,0.016298796978960313,332,0.6658881732942667,0.6867155486862156,0.674493711128597,0.7075633269228842,0.6579092978940124,0.6785140115851952,0.01738537757434977
173,4.503936719894409,0.6889391274660057,0.024730491638183593,0.000863228086249594,0.01,"(100, 25, 100)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 4}",0.6580635170247289,0.6734704269115814,0.6779302180055776,0.6675795192520294,0.6514585232452141,0.6657016081727035,0.009742675088966835,343,0.6614572747036035,0.6815450015960782,0.6617448518039304,0.6771648772362834,0.655766447424257,0.6675356905528306,0.009979760203157382
174,4.936776494979858,0.7990157784123342,0.025549697875976562,0.0012986335650547012,0.01,"(100, 25, 100)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 5}",0.7154471448442677,0.7235120302259525,0.7403355842805258,0.7163984438337704,0.7094537914754374,0.7210306178759189,0.010634897043184521,295,0.728825348811658,0.720258335022205,0.7266862483654634,0.7314686366432899,0.7122964767394752,0.7239070091164183,0.006887811433803517
175,4.758616781234741,0.4713491236539661,0.025566530227661134,0.001186072418956724,0.01,"(100, 25, 100)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 6}",0.7185029227578287,0.7218382928378618,0.7184183214575738,0.7159917664276615,0.694612342647578,0.7138743263534628,0.009807177665365527,314,0.7296764644920185,0.7165443719504676,0.7028099124086779,0.7310326545963203,0.7022467889645093,0.7164620384823988,0.012452988016468776
176,3.9704626560211183,0.6088448741742906,0.025873756408691405,0.0011895213581637446,0.01,"(100, 25, 100)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 7}",0.7414193493041642,0.7489157086852247,0.7595870509223516,0.741585067963823,0.7487851787059822,0.7480586913685017,0.006635865463816595,253,0.7450154920460805,0.7472859756912371,0.7560814272774455,0.7483003387715901,0.7644751291052523,0.752231672578321,0.007165352798614046
177,5.987380266189575,1.6011243417694776,0.024637889862060548,7.167568349690936e-05,0.01,"(100, 25, 100)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 8}",0.7583653976208482,0.7559693256473775,0.7535606226866215,0.7673868410246693,0.7451611330955152,0.7560891271987914,0.007191691528970252,150,0.7609127686305589,0.7604215644358785,0.7492448612642447,0.7838117929614851,0.7589822922476848,0.7626746559079705,0.01139256041767101
178,4.33099594116211,1.4390102098540698,0.025886106491088866,0.0009122065005631994,0.01,"(100, 25, 100)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 9}",0.7576524047031481,0.7722369846886119,0.7605637156996329,0.7360197732082505,0.7519538309946727,0.7556865321269564,0.011851455551635696,165,0.7639197994373894,0.7642448969666481,0.7712150343906279,0.7539962621790484,0.7681765964583048,0.7643105178864038,0.005816523867215523
179,5.581092309951782,1.1868909695580034,0.025257682800292967,0.0003503888081824245,0.01,"(100, 25, 100)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 10}",0.7535886476896609,0.7711597983041847,0.7647186526525862,0.7550177937816525,0.7772006944846955,0.7643363974882684,0.009105036646671987,12,0.7688984255437566,0.7690525217232671,0.7718470162876337,0.7833470700882803,0.7988442502553026,0.7783978567796481,0.011515534818747215
180,4.867134761810303,1.1968266303415778,0.025312185287475586,0.0005693551482487563,0.01,"(100, 25, 100)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'filter__n': 15}",0.7454737646499717,0.7361026246665288,0.7670174923385168,0.7466025985238532,0.7771784319821267,0.7544733356036986,0.015186922649486158,171,0.7561385593491253,0.7383062042780955,0.7635740866494367,0.7765405119877952,0.8061778246473891,0.7681474373823682,0.02268207194498323
